symbol,name,ml_score_raw,ml_score,sector,water_vulnerability,w_stress_weighted,pct_ops_high_stress
PAMT,P.A.M. Transportation Services Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
PALU,Direxion Daily PANW Bull 2X Shares,0.6499777208869664,50.0,,0.3,2.5,0.0
PALI,Palisade Bio Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
PALD,Direxion Daily PANW Bear 1X Shares,0.6499777208869664,50.0,,0.3,2.5,0.0
PAL,Proficient Auto Logistics Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
PAII-WS,Pyrophyte Acquisition Corp II Warrants each whole warrant exercisable for one Class A Ordinary Share at an exercise price of 11.50 per share,0.6499777208869664,50.0,,0.3,2.5,0.0
PAII-U,Pyrophyte Acquisition Corp II Units each consisting of one Class A ordinary share and onehalf of one redeemable warrant,0.6499777208869664,50.0,,0.3,2.5,0.0
PAII,Pyrophyte Acquisition Corp II Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
PAHC,Phibro Animal Health Corp - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
PAGS,PagSeguro Digital Ltd - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
PAGP,Plains GP Holdings LP - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
PAG,Penske Automotive Group Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
PACXW,Pioneer Merger Corp - Warrants(07/01/2026),0.6499777208869664,50.0,,0.3,2.5,0.0
PACX,Pioneer Merger Corp - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
PACWP,PacWest Bancorp Depositary Shares Each Representing a 140th Interest in a Share of 7.75 Fixed Rate NonCumulative Perpetual Preferred Stock Series A,0.6499777208869664,50.0,,0.3,2.5,0.0
PACS,PACS Group Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
PACK,Ranpak Holdings Corp - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
PACI-U,PROOF Acquisition Corp I Units each consisting of one share of Class A common stock 0.0001 par value and onehalf of one redeemable warrant,0.6499777208869664,50.0,,0.3,2.5,0.0
PACHW,Pioneer Acquisition I Corp - Warrants (16/06/2030),0.6499777208869664,50.0,,0.3,2.5,0.0
PACHU,Pioneer Acquisition I Corp - Units (1 Ord Cls A & 1/2 War),0.6499777208869664,50.0,,0.3,2.5,0.0
PACH,Pioneer Acquisition I Corp - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
PACB,Pacific Biosciences of California Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
PAC,Grupo Aeroportuario Del Pacifico SAB de CV,0.6499777208869664,50.0,,0.3,2.5,0.0
PARAP,Paramount Global Conv Pfd,0.6499777208869664,50.0,,0.3,2.5,0.0
PASG,Passage Bio Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
